USC,,,,false,CFB,Southern California
Tennessee U,,,,false,NFL,Tennessee Titans
Miami Florida,,,,false,CFB,Miami-Florida
Florida Intl,,,,false,CFB,Fla. International
So Mississippi,,,,false,CFB,Southern Miss
NorthWestern,,,,false,CFB,Northwestern
Ul Monroe,,,,false,CFB,Louisiana-Monroe
Kent State,,,,true,CFB,Kent State
Buffalo U,,,,false,CFB,Buffalo
Tennessee U,,,,false,CFB,Tennessee
Pittsburgh U,,,,false,CFB,Pittsburgh
Washington U,,,,false,CFB,Washington
Arizona U,,,,false,CFB,Arizona
HOuston U,,,,false,CFB,Houston
,,NAS,,false,NHL,Nashville Predators
